MONTH_,ACQUIRED_USERS
2020-10-01T00:00:00Z,3831
2020-11-01T00:00:00Z,29477
2020-12-01T00:00:00Z,13926
2021-01-01T00:00:00Z,22908
2021-02-01T00:00:00Z,26219
2021-03-01T00:00:00Z,88845
2021-04-01T00:00:00Z,335976
2021-05-01T00:00:00Z,374892
2021-06-01T00:00:00Z,149827
2021-07-01T00:00:00Z,77526
2021-08-01T00:00:00Z,348402
2021-09-01T00:00:00Z,789756
2021-10-01T00:00:00Z,1073979
2021-11-01T00:00:00Z,962207
2021-12-01T00:00:00Z,784701
2022-01-01T00:00:00Z,1881477
2022-02-01T00:00:00Z,1209922
2022-03-01T00:00:00Z,1068417
2022-04-01T00:00:00Z,1517884
2022-05-01T00:00:00Z,1189595
2022-06-01T00:00:00Z,716040
2022-07-01T00:00:00Z,574488
2022-08-01T00:00:00Z,513724
2022-09-01T00:00:00Z,480672
2022-10-01T00:00:00Z,694160
2022-11-01T00:00:00Z,504525
2022-12-01T00:00:00Z,342873
2023-01-01T00:00:00Z,706900
2023-02-01T00:00:00Z,379872
2023-03-01T00:00:00Z,354854
2023-04-01T00:00:00Z,814038
2023-05-01T00:00:00Z,3060716
2023-06-01T00:00:00Z,442273
2023-07-01T00:00:00Z,463952
2023-08-01T00:00:00Z,353310
2023-09-01T00:00:00Z,232324
2023-10-01T00:00:00Z,354654
2023-11-01T00:00:00Z,793942
2023-12-01T00:00:00Z,972666
