MARKETPLACE,MARKETPLACE_ADDRESS,BUYERS
mmm,mmm3XBJg5gk8XJxEKBvdgptZz6SgK4tXvn36sodowMc,10422
hyperspace,HYPERfwdTjyJ2SCaKHmpF2MtrXqWxrsotYDsTrshHWq8,1049
hadeswap,hadeK9DLv9eA7ya5KCTqSvSvRZeJC3JgD5a9Y3CNbvu,2830
grape.art,hausS13jsjafwWwGqZTUQRmWyvyxn9EQpqMwV1PBBmk,118
tensorswap,TSWAPaqyCSx2KABk68Shruf4rp7CxcNi8hAsbdwmHbN,40596
,6U2LkBQ6Bqd1VFt7H76343vpSwS5Tb1rNyXSNnjkf9VL,161
,5SKmrbAxnHV2sgqyDXkGrLrokZYtWWVEEk5Soed7VLVN,17
magic eden,M2mx93ekt1fmXSVkTrUL9xVFHkmME8HTUi5Cyc5aF7K,45397
,EXBuYPNgBUXMTsjCbezENRUtFQzjUNZxvPGTd11Pznk5,1293
,exAuvFHqXXbiLrM4ce9m1icwuSyXytRnfBkajukDFuB,329
solanart,CJsLwbP1iu5DuUikHEJnLfANgKy6stB2uFgvBBHoyxwz,1300
